,cardname,text,cmc,type
172,Ashiok's Forerunner,"Flash
When Ashiok's Forerunner enters the battlefield, you may search your library and/or graveyard for a card named Ashiok, Sculptor of Fears, reveal it, and put it into your hand. If you search your library this way, shuffle.",5.0,Creature — Human Wizard
173,Chardalyn Dragon,Flying,6.0,Artifact Creature — Dragon
174,Razorjaw Oni,Black creatures can't block.,4.0,Creature — Demon Spirit
175,Skittering Crustacean,"{6}{U}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)
As long as Skittering Crustacean is monstrous, it has hexproof. (It can't be the target of spells or abilities your opponents control.)",3.0,Creature — Crab
176,Eaten by Spiders,Destroy target creature with flying and all Equipment attached to that creature.,3.0,Instant
177,"Hargilde, Kindly Runechanter","{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.
Friends forever (You can have two commanders if both have friends forever.)",4.0,Legendary Creature — Human
178,Flamerush Rider,"Whenever Flamerush Rider attacks, create a token that's a copy of another target attacking creature and that's tapped and attacking. Exile the token at end of combat.
Dash {2}{R}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",5.0,Creature — Human Warrior
179,Tribute to Hunger,Target opponent sacrifices a creature. You gain life equal to that creature's toughness.,3.0,Instant
180,Gravelighter,"Flying
When Gravelighter enters the battlefield, draw a card if a creature died this turn. Otherwise, each player sacrifices a creature.",3.0,Creature — Spirit
181,Alpine Meadow,"({T}: Add {R} or {W}.)
Alpine Meadow enters the battlefield tapped.",0.0,Snow Land — Mountain Plains
182,Bag of Tricks,"{4}{G}, {T}: Roll a d8. Reveal cards from the top of your library until you reveal a creature card with mana value equal to the result. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",2.0,Artifact
183,Silhana Starfletcher,"Reach (This creature can block creatures with flying.)
As Silhana Starfletcher enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.",3.0,Creature — Elf Druid Archer
184,Blight Keeper,"Flying
{7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life.",1.0,Creature — Bat Imp
185,Desert Twister,Destroy target permanent.,6.0,Sorcery
186,Abiding Grace,"At the beginning of your end step, choose one —
• You gain 1 life.
• Return target creature card with mana value 1 from your graveyard to the battlefield.",3.0,Enchantment
187,Realm Razer,"When Realm Razer enters the battlefield, exile all lands.
When Realm Razer leaves the battlefield, return the exiled cards to the battlefield tapped under their owners' control.",6.0,Creature — Beast
188,"Malcolm, the Eyes","Flying, haste
Whenever you cast your second spell each turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",2.0,Legendary Creature — Siren Pirate
189,Appetite for Brains,Target opponent reveals their hand. You choose a card from it with mana value 4 or greater and exile that card.,1.0,Sorcery
190,Tiller Engine,"Whenever a land enters the battlefield tapped and under your control, choose one —
• Untap that land.
• Tap target nonland permanent an opponent controls.",2.0,Artifact Creature — Construct
191,Master Trinketeer,"Servos and Thopters you control get +1/+1.
{3}{W}: Create a 1/1 colorless Servo artifact creature token.",3.0,Creature — Dwarf Artificer
192,Axgard Artisan,"Whenever one or more +1/+1 counters are put on Axgard Artisan for the first time each turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",2.0,Creature — Dwarf Artificer
193,Firmament Sage,"If it's neither day nor night, it becomes day as Firmament Sage enters the battlefield.
Whenever day becomes night or night becomes day, draw a card.",4.0,Creature — Human Wizard
194,Inquisitor Exarch,"When Inquisitor Exarch enters the battlefield, choose one —
• You gain 2 life.
• Target opponent loses 2 life.",2.0,Creature — Phyrexian Cleric
195,Denizen of the Deep,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.",8.0,Creature — Serpent
196,Kaalia of the Vast,"Flying
Whenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.",4.0,Legendary Creature — Human Cleric
197,Needle Spires,"Needle Spires enters the battlefield tapped.
{T}: Add {R} or {W}.
{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.",0.0,Land
198,Phyrexian Ghoul,Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.,3.0,Creature — Phyrexian Zombie
199,Consuming Ferocity,"Enchant non-Wall creature
Enchanted creature gets +1/+0.
At the beginning of your upkeep, put a +1/+0 counter on enchanted creature. If that creature has three or more +1/+0 counters on it, it deals damage equal to its power to its controller, then destroy that creature and it can't be regenerated.",2.0,Enchantment — Aura
200,Mishra's Bauble,"{T}, Sacrifice Mishra's Bauble: Look at the top card of target player's library. Draw a card at the beginning of the next turn's upkeep.",0.0,Artifact
201,Electrodominance,Electrodominance deals X damage to any target. You may cast a spell with mana value X or less from your hand without paying its mana cost.,2.0,Instant
202,Faith's Reward,Return to the battlefield all permanent cards in your graveyard that were put there from the battlefield this turn.,4.0,Instant
203,Great Unclean One,"Reverberating Summons — At the beginning of your end step, each opponent loses 2 life. Then for each opponent who has less life than you, create a 1/3 black Demon creature token named Plaguebearer of Nurgle.",5.0,Creature — Demon
204,Hidden Dragonslayer,"Lifelink
Megamorph {2}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Hidden Dragonslayer is turned face up, destroy target creature with power 4 or greater an opponent controls.",2.0,Creature — Human Warrior
205,Stensia Innkeeper,"When Stensia Innkeeper enters the battlefield, tap target land an opponent controls. That land doesn't untap during its controller's next untap step.",4.0,Creature — Vampire
206,Ironpaw Aspirant,"When Ironpaw Aspirant enters the battlefield, put a +1/+1 counter on target creature.",2.0,Creature — Cat Warrior
207,Demonic Collusion,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Search your library for a card, put that card into your hand, then shuffle.",5.0,Sorcery
208,Inspired Sphinx,"Flying
When Inspired Sphinx enters the battlefield, draw cards equal to the number of opponents you have.
{3}{U}: Create a 1/1 colorless Thopter artifact creature token with flying.",7.0,Creature — Sphinx
209,Angel of Suffering,"Flying
If damage would be dealt to you, prevent that damage and mill twice that many cards.",5.0,Creature — Nightmare Angel
210,Arcane Bombardment,"Whenever you cast your first instant or sorcery spell each turn, exile an instant or sorcery card at random from your graveyard. Then copy each card exiled with Arcane Bombardment. You may cast any number of the copies without paying their mana costs.",6.0,Enchantment
211,Ornery Goblin,"Whenever Ornery Goblin blocks or becomes blocked by a creature, Ornery Goblin deals 1 damage to that creature.",2.0,Creature — Goblin Warrior
212,Cut // Ribbons,None,4.0,Sorcery // Sorcery
213,Wolfbitten Captive // Krallenhorde Killer,None,1.0,Creature — Human Werewolf // Creature — Werewolf
214,Deathlace,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.),1.0,Instant
215,Downpour,Tap up to three target creatures.,2.0,Instant
216,Leaping Ambush,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,1.0,Instant
217,Penumbra Kavu,"When Penumbra Kavu dies, create a 3/3 black Kavu creature token.",5.0,Creature — Kavu
218,Phyrexian Ingester,"Imprint — When Phyrexian Ingester enters the battlefield, you may exile target nontoken creature.
Phyrexian Ingester gets +X/+Y, where X is the exiled creature card's power and Y is its toughness.",7.0,Creature — Phyrexian Beast
219,Steam Augury,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,4.0,Instant
220,Blood Sun,"When Blood Sun enters the battlefield, draw a card.
All lands lose all abilities except mana abilities.",3.0,Enchantment
221,Somberwald Beastmaster,"When Somberwald Beastmaster enters the battlefield, create a 2/2 green Wolf creature token, a 3/3 green Beast creature token, and a 4/4 green Beast creature token.
Creature tokens you control have deathtouch.",7.0,Creature — Human Ranger
222,Robaran Mercenaries,"Vigilance
Robaran Mercenaries has all activated abilities of all legendary creatures you control.",4.0,Creature — Human Mercenary
223,Ancient Runes,"At the beginning of each player's upkeep, Ancient Runes deals damage to that player equal to the number of artifacts they control.",3.0,Enchantment
224,Fabled Hero,"Double strike
Heroic — Whenever you cast a spell that targets Fabled Hero, put a +1/+1 counter on Fabled Hero.",3.0,Creature — Human Soldier
225,Fireball,"This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets.",1.0,Sorcery
226,Carrionette,{2}{B}{B}: Exile Carrionette and target creature unless that creature's controller pays {2}. Activate only if Carrionette is in your graveyard.,2.0,Creature — Skeleton
227,Poison-Tip Archer,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.",4.0,Creature — Elf Archer
228,Turbulent Dreams,"As an additional cost to cast this spell, discard X cards.
Return X target nonland permanents to their owners' hands.",2.0,Sorcery
229,Footbottom Feast,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card.",3.0,Instant
230,Whirler Rogue,"When Whirler Rogue enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.
Tap two untapped artifacts you control: Target creature can't be blocked this turn.",4.0,Creature — Human Rogue Artificer
